OBJECTID,Place,Contexto,Location,Longitude,Latitude,Category,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,FID_,x,y
1,la Rambla de San Andrés/ la plaza del Ayuntamiento,"· pp. 9-10 - Bocanegra maneja el coche robado a través de esta área, donde un coche patrulla empieza a perseguirlo",Plaça Sant Jaume,2.17701,41.3827,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.17700505251181,41.3826751708327
2,la calle principal de San Andrés,· pp. 11-12 - Bocanegra llega aquí cuando huye de los policías,Av. Meridiana,2.19012,41.4446,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.19011902823697,41.4446372986599
3,el descubrimiento de Carlos Stuart Pedrell,"· p. 12 - Bocanegra va, en busca de los descampados, hacia la dirección de la Trinidad; descubre un muerto en una casa en construcción abandonada",la Trinitat,2.18937,41.4515,dead body, , , , , , , , , , , , , , , , , , , , ,0,2.18937110889774,41.4515457151367
4,El despacho de Carvalho,"· p. 13 - La primera aparición de Carvalho en la novela está en su despacho ramblero  · p. 21 - Carvalho habla con un policía que participó en la investigación del homicidio de Stuart Pedrell  · p. 86 - Yes viene aquí para ver a Carvalho  · p.",La Rambla/ las Ramblas,2.17474,41.3792,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17473506907766,41.3791503903636
5,la calle Fernando,"· p. 14 - La lluvia le hace a Carvalho correr hacia la calle Fernando, en busca de los escaparates de Beristain",Carrer de Ferran,2.17412,41.3804,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17412304867122,41.3803672787537
6,charcutería,· p. 15 - La tienda donde Carvalho sólo compra los quesos y los embutidos,Barrio Gótico,2.17522,41.3812,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.1752150056963,41.3812294008973
7,perrería,· p. 16 Carvalho compra Bleda aquí,Barrio Gótico,2.17556,41.3815,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17555594419439,41.3815002441171
8,La casa de Carvalho,"· p. 16 - Carvalho menciona que vive en Vallvidrera cuando está hablando de Bleda con Biscuter  · p. 26 - Carvalho y Charo regresan a su cas después de cenar  · p. 72 - Jésica visita a Carvalho  · p. 94 - Carvalho regresa a su casa después de hab",Vallvidrera - el Tibidabo i les Planes,2.10529,41.4158,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.10528898245879,41.4158096315594
9,el Túnel,"· p. 25 - Carvalho, Biscuter y Charo cenan aquí",Dreta de l'Eixample,2.17108,41.3964,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17108201966913,41.3964347840951
10,finca de Stuart Pedrell,· p. 33 - Stuart Pedrell tiene una finca en Lliteras, ,3.47209,39.7201,criminal, , , , , , , , , , , , , , , , , , , , ,0,3.47208905238143,39.7200813290493
11,el estudio de Artimbau,· p. 33 - Carvalho visita a Artimbau en su estudio en la calle Baja de San Pedro,Carrer de Sant Pere Més Baix; Sant Pere - Santa Caterina i la Ribera,2.17682,41.3868,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17681693990142,41.3867835996238
12,la casa de Stuart Pedrell,"· p. 41 - Stuart Pedrell había vivido en una casa del Puxtet. Carvalho viene a la casa para ver su despacho · p. 214 - Carvalho revela lo que ha descubierto a la señora Stuart Pedrell. Ella lo invita a los mares del Sur, pero él declina la invitaci",El Putxet quarter of Sarrià-Sant Gervasi,2.1397,41.4091,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.13970494297656,41.4091300961679
13,la Central Cervecera,"· p. 49 - Carvalho habla con Isidro Planas, un socio de Stuart Pedrell, aquí porque Planas tiene una reunión después. La fábrica de cerveza es uno de sus negocios",La Nova Esquerra de l'Eixample,2.14625,41.3844,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.1462469096601,41.3844451905218
14,la casa de Planas,· p. 52 - Planas vive en Pedralbes,Pedralbes,2.10997,41.3917,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.10996890056017,41.3917427065359
15,Casa Leopoldo,"· p. 53 - Carvalho cena aquí, el restaurante a que vino con su padre como niño","Carrer de Sant Rafael, El Raval",2.16958,41.3793,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.16957807549182,41.3793106076966
16,la calle Aurora,· p. 54 - Carvalho pasa por esta calle después de cenar en Casa Leopoldo. Carvalho decide asistir a un serie de actos sobre la "novela negra",Carrer de l'Aurora; El Raval,2.16797,41.3787,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.16797399521147,41.3786544800546
17,El Rincón de Pepe,· p. 59 - Un restaurante murciano que Carvalho había visitado, ,1.80777,41.235,investigator, , , , , , , , , , , , , , , , , , , , ,0,1.80777001373204,41.2349700927177
18,las Rondas,"· p. 59 - Después de salir de la barra, Carvalho anda por su paisaje infantil y le duele el cambio y la destrucción. Llama a su amigo, Enric Fuster, para preguntar sobre los versos italianos de Stuart Pedrell", ,2.16321,41.3786,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.16321206092466,41.3786468503972
19,Tres Torres,· p. 61 - Carvalho busca la casa del marqués de Munt. El taxista le deja a Carvalho en una calle aquí. El marqués vive en un gran edificio nuevo,Les Tres Torres,2.12874,41.3997,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.12873792640739,41.399730682423
20,La tienda de Teresa Marsè,· p. 78 - Carvalho esta aquí para preguntar sobre Stuart Pedrell. (Ubicación dada en Tatuaje), ,2.13558,41.3973,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.1355750561371,41.3973197939419
21,el Liceo,"· p. 80 - Los Stuart Pedrell asistían a reuniones para jóvenes matrimonios de la buena sociedad barcelonesa para hablar de moral, según Teresa Marsé a Carvalho.",El Raval,2.17331,41.3802,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.17330598869949,41.3801956174514
22,la casa de Adela (Lita) Vilardell,"· p. 82 - Carvalho va a la casa para hablar con Adela Vilardell · p. 206 - Carvalho habla con Lita Villardel y el abogado Villadecans sobre la noche del muerto de Stuart Pedrell",Sarriá (más allá de la Vía Augusta),2.12227,41.4017,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.1222701075657,41.4016876223374
23,la Plaza Real,· p. 88 - Carvalho piensa que ve a Yes en la dirección de las arcadas de la Plaza Real después de que ella salió del despacho,Barrio Gótico,2.17525,41.3801,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17524600026855,41.3801269528036
24,el monumento a Colón (Mirador de Colom),"· p. 88 - Carvalho anda aquí, buscando a Yes", ,2.17777,41.3758,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17776894569346,41.3757896422067
25,La Puerta de la Paz,· p. 88 - Carvalho observa el área cuando busca a Yes, ,2.17886,41.3754,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17886209478292,41.3754005430802
26,Amaya,· p. 89 - Una taberna que Carvalho visita después de buscar a Yes,Barrio Gótico,2.17626,41.378,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17625904119425,41.3780212403836
27,escuela de arte en Vallvidrera,"· p. 91 - Nisa Pascual, la última "teenager" en la vida de Stuart Pedrell, asiste a clases por las tardes. Carvalho la encuentra aquí.", ,2.12938,41.3952,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.12937998737526,41.3952140809757
28,San Cugat,"· p. 91/95 - Carvalho viene al piso de Sergio Beser con su amigo, Enric Fuster, para cenar.",San Cugat del Vallés,2.07118,41.4755,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.07117509842159,41.4754753111669
29,el Paralelo,· p. 137 - Carvalho sale el metro en el Paralelo cuando regresa de San Magín, ,2.17003,41.3748,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17002701753821,41.3748245241777
30,Vía Véneto,· p. 138 - La señora Stuart Pedrell ha invitado a Carvalho a un aperitivo aquí, ,2.13897,41.3925,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.1389739514905,41.3925361631235
31,el restaurante Río Azul,· p. 139 - Carvalho invita a Yes aquí para cenar, ,2.16008,41.3914,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.16008400942604,41.3913917540477
32,la casa de Charo,· pp. 153-157 - una casa nueva construida en el corazón del Barrio Chino, ,2.16782,41.3779,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.16781806923771,41.3778572080325
33,la Oca Gourmet,· p. 176 - Planas invita a Carvalho aquí para almorzar y hablar personalmente, ,2.18604,41.4132,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.18604111702158,41.4132003783248
34,la Plaza del Arco del Teatro,· p. 215 - Carvalho la acompaña a la mujer hasta la Plaza del Arco del Teatro, ,2.17555,41.3789,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17555308306021,41.3789215087376
